File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\shared\modules\config\Config.java,57,41,15,2,8,0,8,13,4,7
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\shared\modules\config\ConfigFileReader.java,76,55,36,6,12,0,9,37,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\shared\modules\config\ConfigModuleWorker.java,68,43,30,10,11,0,14,71,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\shared\modules\config\ConfigModuleWorkerBuilder.java,35,16,12,1,7,0,12,54,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\shared\modules\config\CustomClassLoader.java,79,56,38,11,14,0,9,37,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\shared\modules\config\XmlContent.java,40,21,14,3,10,0,9,37,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\shared\modules\config\XmlReader.java,18,5,4,0,4,0,9,37,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\shared\modules\config\XmlSaxReaderWorker.java,52,31,23,2,12,0,9,37,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\shared\modules\config\XmlSaxRunner.java,78,55,35,6,14,0,9,37,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\starter\ModulesLoader.java,47,33,26,4,6,0,8,13,4,7
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\starter\RemoteLocator.java,62,44,31,7,10,0,8,13,4,7
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\starter\ScriptProvider.java,262,204,126,19,47,0,11,43,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\starter\ScriptsUpdater.java,38,22,17,0,7,0,9,37,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\starter\Starter.java,35,18,14,0,8,0,9,37,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\x\old\core\modules\config\ConfigModuleWorker.java,59,21,16,2,9,0,29,83,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\x\old\core\modules\config\ConfigModuleWorkerBuilder.java,29,13,9,1,6,0,10,38,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\x\old\starter\StarterWindows.java,246,212,79,7,15,0,19,43,4,7
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\x\old\util\config\ConfigContainer.java,57,35,28,3,11,0,11,19,4,7
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\x\old\util\config\jaxpdom\reader\ConfigReader.java,37,25,23,1,4,0,8,13,4,7
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\x\old\util\config\jaxpdom\reader\ConfigReaderImpl.java,155,110,50,20,28,0,17,22,4,7
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\x\old\util\config\jaxpdom\reader\JaxpXmlReader.java,123,92,52,9,14,0,17,71,5,31
